datetime,capital,position_value,equity
2020-05-12,1048062.8906430558,0.0,1048062.8906430558
2020-05-13,1048062.8906430558,0.0,1048062.8906430558
2020-05-14,1048062.8906430558,0.0,1048062.8906430558
2020-05-15,1048062.8906430558,0.0,1048062.8906430558
2020-05-18,1048062.8906430558,0.0,1048062.8906430558
2020-05-19,1048062.8906430558,0.0,1048062.8906430558
2020-05-20,1048062.8906430558,0.0,1048062.8906430558
2020-05-21,1048062.8906430558,0.0,1048062.8906430558
2020-05-22,1048062.8906430558,0.0,1048062.8906430558
2020-05-25,1048062.8906430558,0.0,1048062.8906430558
2020-05-26,1048062.8906430558,0.0,1048062.8906430558
2020-05-27,1048062.8906430558,0.0,1048062.8906430558
2020-05-28,1048062.8906430558,0.0,1048062.8906430558
2020-05-29,1048062.8906430558,0.0,1048062.8906430558
2020-06-01,1048062.8906430558,0.0,1048062.8906430558
2020-06-02,1048062.8906430558,0.0,1048062.8906430558
2020-06-03,1048062.8906430558,0.0,1048062.8906430558
2020-06-04,1048062.8906430558,0.0,1048062.8906430558
2020-06-05,1048062.8906430558,0.0,1048062.8906430558
2020-06-08,1048062.8906430558,0.0,1048062.8906430558
2020-06-09,1048062.8906430558,0.0,1048062.8906430558
2020-06-10,1048062.8906430558,0.0,1048062.8906430558
2020-06-11,1048062.8906430558,0.0,1048062.8906430558
2020-06-12,1048062.8906430558,0.0,1048062.8906430558
2020-06-15,1048062.8906430558,0.0,1048062.8906430558
2020-06-16,1048062.8906430558,0.0,1048062.8906430558
2020-06-17,1048062.8906430558,0.0,1048062.8906430558
2020-06-18,1048062.8906430558,0.0,1048062.8906430558
2020-06-19,1048062.8906430558,0.0,1048062.8906430558
2020-06-22,1048062.8906430558,0.0,1048062.8906430558
2020-06-23,1048062.8906430558,0.0,1048062.8906430558
2020-06-24,1048062.8906430558,0.0,1048062.8906430558
2020-06-29,1048062.8906430558,0.0,1048062.8906430558
2020-06-30,1048062.8906430558,0.0,1048062.8906430558
2020-07-01,1048062.8906430558,0.0,1048062.8906430558
2020-07-02,1048062.8906430558,0.0,1048062.8906430558
2020-07-03,1048062.8906430558,0.0,1048062.8906430558
2020-07-06,1048062.8906430558,0.0,1048062.8906430558
2020-07-07,1048062.8906430558,0.0,1048062.8906430558
2020-07-08,1048062.8906430558,0.0,1048062.8906430558
2020-07-09,1048062.8906430558,0.0,1048062.8906430558
2020-07-10,1048062.8906430558,0.0,1048062.8906430558
2020-07-13,1048062.8906430558,0.0,1048062.8906430558
2020-07-14,68628.83264921652,977551.5747070312,1046180.4073562478
2020-07-15,68628.83264921652,976206.8481445312,1044835.6807937478
2020-07-16,68628.83264921652,961415.6799316406,1030044.5125808571
2020-07-17,68628.83264921652,986963.9282226562,1055592.7608718728
2020-07-20,68628.83264921652,984274.658203125,1052903.4908523415
2020-07-21,410269.43783887336,686661.4990234375,1096930.9368623109
2020-07-22,410269.43783887336,688454.4677734375,1098723.9056123109
2020-07-23,410269.43783887336,683972.2290039062,1094241.6668427796
2020-07-24,410269.43783887336,692039.9780273438,1102309.415866217
2020-07-27,410269.43783887336,761064.6362304688,1171334.074069342
