datetime,capital,position_value,equity
2025-10-22,985616.9634942841,0.0,985616.9634942841
2025-10-23,985616.9634942841,0.0,985616.9634942841
2025-10-27,985616.9634942841,0.0,985616.9634942841
2025-10-28,985616.9634942841,0.0,985616.9634942841
2025-10-29,985616.9634942841,0.0,985616.9634942841
2025-10-30,985616.9634942841,0.0,985616.9634942841
2025-10-31,985616.9634942841,0.0,985616.9634942841
2025-11-03,985616.9634942841,0.0,985616.9634942841
2025-11-04,985616.9634942841,0.0,985616.9634942841
2025-11-05,985616.9634942841,0.0,985616.9634942841
2025-11-06,985616.9634942841,0.0,985616.9634942841
2025-11-07,985616.9634942841,0.0,985616.9634942841
2025-11-10,985616.9634942841,0.0,985616.9634942841
2025-11-11,985616.9634942841,0.0,985616.9634942841
2025-11-12,985616.9634942841,0.0,985616.9634942841
2025-11-13,985616.9634942841,0.0,985616.9634942841
2025-11-14,985616.9634942841,0.0,985616.9634942841
2025-11-17,985616.9634942841,0.0,985616.9634942841
2025-11-18,985616.9634942841,0.0,985616.9634942841
2025-11-19,985616.9634942841,0.0,985616.9634942841
2025-11-20,985616.9634942841,0.0,985616.9634942841
2025-11-21,985616.9634942841,0.0,985616.9634942841
2025-11-24,985616.9634942841,0.0,985616.9634942841
2025-11-25,985616.9634942841,0.0,985616.9634942841
2025-11-26,985616.9634942841,0.0,985616.9634942841
2025-11-27,985616.9634942841,0.0,985616.9634942841
2025-11-28,985616.9634942841,0.0,985616.9634942841
2025-12-01,985616.9634942841,0.0,985616.9634942841
2025-12-02,985616.9634942841,0.0,985616.9634942841
2025-12-03,985616.9634942841,0.0,985616.9634942841
2025-12-04,985616.9634942841,0.0,985616.9634942841
2025-12-05,985616.9634942841,0.0,985616.9634942841
2025-12-08,985616.9634942841,0.0,985616.9634942841
2025-12-09,985616.9634942841,0.0,985616.9634942841
2025-12-10,985616.9634942841,0.0,985616.9634942841
2025-12-11,985616.9634942841,0.0,985616.9634942841
2025-12-12,985616.9634942841,0.0,985616.9634942841
2025-12-15,985616.9634942841,0.0,985616.9634942841
2025-12-16,985616.9634942841,0.0,985616.9634942841
2025-12-17,985616.9634942841,0.0,985616.9634942841
2025-12-18,985616.9634942841,0.0,985616.9634942841
2025-12-19,985616.9634942841,0.0,985616.9634942841
2025-12-22,985616.9634942841,0.0,985616.9634942841
2025-12-23,985616.9634942841,0.0,985616.9634942841
2025-12-24,985616.9634942841,0.0,985616.9634942841
2025-12-26,985616.9634942841,0.0,985616.9634942841
