datetime,cash,position_value,equity
2026-01-26,514525.82770505943,563776.386682602,1078302.2143876613
2026-01-27,514525.82770505943,571743.2049001179,1086269.0326051773
2026-01-28,514525.82770505943,579830.0453792798,1094355.8730843393
2026-01-29,514525.82770505943,574292.1487723805,1088817.97647744
2026-01-30,729826.2483034462,345685.80367301323,1075512.0519764596
2026-02-02,954226.2173958693,113042.01444336714,1067268.2318392363
2026-02-03,954226.2173958693,115283.64414733116,1069509.8615432004
2026-02-04,954226.2173958693,114322.94234119788,1068549.1597370673
2026-02-05,954226.2173958693,113042.01444336714,1067268.2318392363
2026-02-06,954226.2173958693,114002.71624950042,1068228.9336453697
2026-02-09,954226.2173958693,116244.33810978413,1070470.5555056534
2026-02-10,954226.2173958693,120407.36358233438,1074633.5809782038
2026-02-11,954226.2173958693,122648.9854426181,1076875.2028384875
2026-02-23,954226.2173958693,121688.29148016512,1075914.5088760345
2026-02-24,954226.2173958693,125851.30910903508,1080077.5265049045
2026-02-25,954226.2173958693,129053.63277545206,1083279.8501713213
2026-02-26,954226.2173958693,127772.70487762133,1081998.9222734906
2026-03-02,954226.2173958693,126491.7769797906,1080717.9943756599
2026-03-03,954226.2173958693,123929.91334044884,1078156.1307363182
2026-03-04,1073084.8686385618,0.0,1073084.8686385618
2026-03-05,1073084.8686385618,0.0,1073084.8686385618
2026-03-06,1073084.8686385618,0.0,1073084.8686385618
2026-03-09,1073084.8686385618,0.0,1073084.8686385618
2026-03-10,1073084.8686385618,0.0,1073084.8686385618
2026-03-11,1073084.8686385618,0.0,1073084.8686385618
2026-03-12,1073084.8686385618,0.0,1073084.8686385618
2026-03-13,1073084.8686385618,0.0,1073084.8686385618
2026-03-16,1073084.8686385618,0.0,1073084.8686385618
2026-03-17,1073084.8686385618,0.0,1073084.8686385618
2026-03-18,1073084.8686385618,0.0,1073084.8686385618
2026-03-19,1073084.8686385618,0.0,1073084.8686385618
2026-03-20,1073084.8686385618,0.0,1073084.8686385618
2026-03-23,1073084.8686385618,0.0,1073084.8686385618
2026-03-24,1073084.8686385618,0.0,1073084.8686385618
2026-03-25,1073084.8686385618,0.0,1073084.8686385618
2026-03-26,1073084.8686385618,0.0,1073084.8686385618
2026-03-27,1073084.8686385618,0.0,1073084.8686385618
2026-03-30,1073084.8686385618,0.0,1073084.8686385618
2026-03-31,1073084.8686385618,0.0,1073084.8686385618
2026-04-01,1073084.8686385618,0.0,1073084.8686385618
2026-04-02,1073084.8686385618,0.0,1073084.8686385618
2026-04-07,1073084.8686385618,0.0,1073084.8686385618
2026-04-08,1073084.8686385618,0.0,1073084.8686385618
2026-04-09,1073084.8686385618,0.0,1073084.8686385618
2026-04-10,1073084.8686385618,0.0,1073084.8686385618
2026-04-13,1073084.8686385618,0.0,1073084.8686385618
2026-04-14,1073084.8686385618,0.0,1073084.8686385618
2026-04-15,1073084.8686385618,0.0,1073084.8686385618
2026-04-16,1073084.8686385618,0.0,1073084.8686385618
2026-04-17,1073084.8686385618,0.0,1073084.8686385618
2026-04-20,1073084.8686385618,0.0,1073084.8686385618
2026-04-21,1073084.8686385618,0.0,1073084.8686385618
2026-04-22,1073084.8686385618,0.0,1073084.8686385618
2026-04-23,1073084.8686385618,0.0,1073084.8686385618
2026-04-24,1073084.8686385618,0.0,1073084.8686385618
2026-04-27,1073084.8686385618,0.0,1073084.8686385618
2026-04-28,1073084.8686385618,0.0,1073084.8686385618
2026-04-29,1073084.8686385618,0.0,1073084.8686385618
2026-04-30,1073084.8686385618,0.0,1073084.8686385618
2026-05-04,1073084.8686385618,0.0,1073084.8686385618
2026-05-05,1073084.8686385618,0.0,1073084.8686385618
2026-05-06,1073084.8686385618,0.0,1073084.8686385618
2026-05-07,858467.8949108494,214204.04251889093,1072671.9374297403
2026-05-08,858467.8949108494,214540.9654109792,1073008.8603218286
2026-05-11,858467.8949108494,216899.48992013253,1075367.384830982
2026-05-12,858467.8949108494,216731.02044102148,1075198.915351871
2026-05-13,858467.8949108494,215214.8272612896,1073682.722172139
2026-05-14,858467.8949108494,218078.74414164227,1076546.6390524916
2026-05-15,858467.8949108494,216983.72465968804,1075451.6195705375
2026-05-18,858467.8949108494,215972.92385115553,1074440.8187620048
2026-05-19,858467.8949108494,216983.72465968804,1075451.6195705375
2026-05-20,858467.8949108494,218836.8407315082,1077304.7356423575
2026-05-21,969652.6756038221,111734.82750512964,1081387.5031089517
2026-05-22,969652.6756038221,112577.15080148418,1082229.8264053063
2026-05-25,969652.6756038221,115693.7638674365,1085346.4394712585
